11:50:11 [INFO] 開示銘柄一覧投稿: 2026-06-23
11:50:11 [INFO] J-Quants: 上場銘柄情報を取得中...
11:50:13 [INFO] J-Quants: 財務データを取得中 (2024-06-23 〜 2026-06-23)...
11:50:13 [INFO]   fin_summary バルク: 40 ファイル
11:50:14 [INFO]     バルクCSV列名: ['DiscDate', 'DiscTime', 'Code', 'DiscNo', 'DocType', 'CurPerType', 'CurPerSt', 'CurPerEn', 'CurFYSt', 'CurFYEn', 'NxtFYSt', 'NxtFYEn', 'Sales', 'OP', 'OdP', 'NP', 'EPS', 'DEPS', 'TA', 'Eq', 'EqAR', 'BPS', 'CFO', 'CFI', 'CFF', 'CashEq', 'Div1Q', 'Div2Q', 'Div3Q', 'DivFY', 'DivAnn', 'DivUnit', 'DivTotalAnn', 'PayoutRatioAnn', 'FDiv1Q', 'FDiv2Q', 'FDiv3Q', 'FDivFY', 'FDivAnn', 'FDivUnit', 'FDivTotalAnn', 'FPayoutRatioAnn', 'NxFDiv1Q', 'NxFDiv2Q', 'NxFDiv3Q', 'NxFDivFY', 'NxFDivAnn', 'NxFDivUnit', 'NxFPayoutRatioAnn', 'FSales2Q', 'FOP2Q', 'FOdP2Q', 'FNP2Q', 'FEPS2Q', 'NxFSales2Q', 'NxFOP2Q', 'NxFOdP2Q', 'NxFNp2Q', 'NxFEPS2Q', 'FSales', 'FOP', 'FOdP', 'FNP', 'FEPS', 'NxFSales', 'NxFOP', 'NxFOdP', 'NxFNp', 'NxFEPS', 'MatChgSub', 'SigChgInC', 'ChgByASRev', 'ChgNoASRev', 'ChgAcEst', 'RetroRst', 'ShOutFY', 'TrShFY', 'AvgSh', 'NCSales', 'NCOP', 'NCOdP', 'NCNP', 'NCEPS', 'NCTA', 'NCEq', 'NCEqAR', 'NCBPS', 'FNCSales2Q', 'FNCOP2Q', 'FNCOdP2Q', 'FNCNP2Q', 'FNCEPS2Q', 'NxFNCSales2Q', 'NxFNCOP2Q', 'NxFNCOdP2Q', 'NxFNCNP2Q', 'NxFNCEPS2Q', 'FNCSales', 'FNCOP', 'FNCOdP', 'FNCNP', 'FNCEPS', 'NxFNCSales', 'NxFNCOP', 'NxFNCOdP', 'NxFNCNP', 'NxFNCEPS']
11:50:14 [INFO]     1/40: fins/summary/historical/2024/fins_summary_202407.csv.gz (1220件)
11:50:15 [INFO]     2/40: fins/summary/historical/2024/fins_summary_202408.csv.gz (2877件)
11:50:16 [INFO]     3/40: fins/summary/historical/2024/fins_summary_202409.csv.gz (445件)
11:50:17 [INFO]     4/40: fins/summary/historical/2024/fins_summary_202410.csv.gz (1323件)
11:50:18 [INFO]     5/40: fins/summary/historical/2024/fins_summary_202411.csv.gz (3009件)
11:50:19 [INFO]     6/40: fins/summary/historical/2024/fins_summary_202412.csv.gz (417件)
11:50:20 [INFO]     7/40: fins/summary/historical/2025/fins_summary_202501.csv.gz (1176件)
11:50:21 [INFO]     8/40: fins/summary/historical/2025/fins_summary_202502.csv.gz (3135件)
11:50:22 [INFO]     9/40: fins/summary/historical/2025/fins_summary_202503.csv.gz (580件)
